event_id,campaign_id,client_id,event_date,event_type,account_id,revenue_influenced
evt_0001,camp_005,client_003,2025-11-18,impression,acc_024,
evt_0002,camp_045,client_001,2025-09-16,impression,acc_079,
evt_0003,camp_015,client_002,2025-08-10,click,acc_046,
evt_0004,camp_030,client_002,2025-10-01,form_fill,acc_009,31627.84
evt_0005,camp_043,client_001,2026-01-14,impression,acc_028,
evt_0006,camp_015,client_002,2025-07-24,form_fill,acc_085,4499.08
evt_0007,camp_011,client_004,2025-11-10,impression,acc_094,
evt_0008,camp_037,client_002,2025-10-15,impression,acc_046,
evt_0009,camp_045,client_001,2025-09-07,form_fill,acc_036,
evt_0010,camp_032,client_001,2025-09-03,impression,acc_061,
evt_0011,camp_028,client_002,2025-09-08,impression,acc_098,
evt_0012,camp_002,client_004,2026-03-02,meeting_booked,acc_008,126214.0
evt_0013,camp_037,client_002,2025-08-22,meeting_booked,acc_072,102480.83
evt_0014,camp_018,client_003,2025-11-16,click,acc_075,
evt_0015,camp_012,client_004,2025-08-17,click,acc_063,
evt_0016,camp_018,client_003,2026-01-04,impression,acc_024,
evt_0017,camp_032,client_001,2025-10-22,impression,acc_010,
evt_0018,camp_022,client_003,2025-12-16,click,acc_050,
evt_0019,camp_022,client_003,2026-02-05,impression,acc_056,
evt_0020,camp_026,client_004,2026-03-03,impression,acc_096,
evt_0021,camp_006,client_002,2025-09-08,impression,acc_049,
evt_0022,camp_050,client_003,2025-08-22,click,acc_055,
evt_0023,camp_001,client_002,2025-08-22,impression,acc_090,
evt_0024,camp_004,client_001,2026-01-17,impression,acc_028,
evt_0025,camp_049,client_001,2025-07-31,impression,acc_064,
evt_0026,camp_004,client_001,2025-12-16,impression,acc_028,
evt_0027,camp_019,client_002,2025-09-26,impression,acc_058,
evt_0028,camp_002,client_004,2026-03-03,click,acc_080,
evt_0029,camp_020,client_003,2025-07-03,impression,acc_074,
evt_0030,camp_006,client_002,2025-08-29,impression,acc_031,
evt_0031,camp_008,client_004,2026-02-04,impression,acc_080,
evt_0032,camp_046,client_001,2025-09-05,click,acc_036,
